UNIT,US Government,Earth Science,Entrepreneurship,Dinosaurs,Human Body,Farming + Food,Careers + Trades,NA Forest Animals,Africa,TOTALS
Physical Science,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours
Chemistry,,1,1,,,3,,2,,7
Physics,,1,2.5,1.5,,0.5,1.5,2.5,,9.5
Astronomy,,1,,,,,,,,1
,,,,,,,,,,
Earth Science,,,,,,,,,,
Geology,,13,,,,,,,1,14
Environmental Science,,2,,,,,1,,,3
Oceanography,,,,,,,,,,
Meteorology,,15,,,,,1,,1,17
Paleontology,,,,28.5,,,0.5,,,
,,,,,,,,,,
Life Science,,,,,,,,,,
Biology,,,,,0.5,2.5,,,,3
Botany,,,0.5,,,4,,2,,6.5
Marine Biology,,,,,,0.5,,,,
Anatomy + Physiology,,,4,1,26,0.5,,1,,32.5
Zoology,,,1,1.5,,3.5,1,31,14,52
,,,,,,,,,,
"Language
Arts",,,,,,,,,,
English + Composition,18.5,28,39,46,30.5,31.5,20,19,23.5,256
American Literature,20,,21,,20,20,20,,,101
British Literature,,,,,,,,,,
Classical Literature,,,,,,,,1,,1
,,,,,,,,,,
History,,,,,,,,,,
US History,1.5,1,2,,,1,,3.5,,9
World History,,11,6,4.5,10,2,2,2.5,25,63
Government (Civics),19,,2,,,1,3,,,25
Economics,,1,1,,,4.5,,,3.5,10
,,,,,,,,,,
Bible,,13,3,30,8.5,10.5,10.5,2,16.5,94
,,,,,,,,,,
"Physical
Education",,,,,14,,,1,,15
,,,,,,,,,,
Fine Arts,,,,,,,,,,
Visual Arts,0.5,4.5,13.5,14.5,4,8.5,3,13,9,70.5
Media Arts,,,2,,,,1,11,,14
Performing Arts,,,,,,,,,,
Music,,,,,0.5,,,,1,1.5
,,,,,,,,,,
Electives,,,,,,,,,,
Culinary Arts,,,,,,,,,,0
Business + Marketing,,,32,,,,2,,,34
Career + Technology,,0.5,0.5,2,0.5,2.5,29,,,35
Home Economics,,,2,,0.5,4.5,,,,7
,,,,,,,,,,
"Social Science
Electives",,,,,,,,,,
Geography,0.5,11,3,6.5,2,5.5,2,19,25.5,75
Psychology,,,0.5,3,1,2.5,4.5,3,,14.5
Sociology,,1,3.5,3,3,1,,1,0.5,13
Philosophy,,,,,,,,,,
Ethics,,,9.5,0.5,2,1.5,1,1,,15.5
World Religions,,,,,,,,,,
