UNIT,Chemistry,Artists,US History 1,Rocks + Minerals,US History 2,Astronomy,US History 3,South America,Living off the Land,Money Step 6 (Personal Finance),TOTALS
Physical Science,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours
Chemistry,48.5,1.5,,3,,3.5,,,5.5,,62
Physics,1,3,,2.5,0.5,36,,,2,,45
Astronomy,,,,3.5,,,,,,,3.5
,,,,,,,,,,,0
Earth Science,,,,,,,,,,,0
Geology,,,,30,,,0.5,,,,30.5
Environmental Science,2,0.5,,1,,1,,,5.5,,10
Oceanography,,,,,,,,,,,0
Meteorology,0.5,,,,,2,,,,,2.5
Paleontology,,,,,,,,,,,0
,,,,,,,,,,,0
Life Science,,,,,,,,,,,0
Biology,4,,,,,1,,,4,,9
Botany,0.5,,,,,0.5,,1,2.5,,4.5
Marine Biology,,,,,,,,,,,0
Anatomy + Physiology,3,1,,2.5,,1.5,,,,,8
Zoology,1,,,2,,,,14.5,0.5,,18
,,,,,,,,,,,
"Language
Arts",,,,,,,,,,,
English + Composition,37,41.5,31,37,36.5,36,25,24.5,33.5,,302
American Literature,10,,20,20,21,20,24,20,20,,155
British Literature,,1.5,,,,,,,,,1.5
Classical Literature,,0.5,,,,,,,,,0.5
,,,,,,,,,,,
History,,,,,,,,,,,
US History,1,3,17.5,3.5,26,0.5,22.5,,25.5,,110
World History,4.5,11,2.5,4,0.5,5.5,,10.5,2.5,,41
Government (Civics),,,,,,,0.5,1,1,,2.5
Economics,,,,,,,,1,1.5,,2.5
,,,,,,,,,,,
Bible,3.5,8,1,22,1,7.5,1.5,17.5,15,,77
,,,,,,,,,,,
"Physical
Education",,,,,,1,,,,,1
,,,,,,,,,,,
Fine Arts,,,,,,,,,,,
Visual Arts,21,26,6,8,8,14.5,4,8.5,18,,114
Media Arts,,3,,,,2.5,,,3.5,,9
Performing Arts,,4.5,,,2,,,,,,6.5
Music,,3.5,,,0.5,1,0.5,,1,,6.5
,,,,,,,,,,,
Electives,,,,,,,,,,,
Culinary Arts,,2,,,0.5,,,,,,2.5
Business + Marketing,,,,,,,,,,,
Career + Technology,0.5,3,,,,11.5,,,,,15
Home Economics,1,2,,1,0.5,,2,,11.5,,18
,,,,,,,,,,,
"Social Science
Electives",,,,,,,,,,,
Geography,2,3,6.5,11,2,1.5,3.5,23,3,,55.5
Psychology,0.5,,,,,,,,,,0.5
Sociology,0.5,1,2,1,0.5,,1,,,,6
Philosophy,,,,,,,,,,,
Ethics,,,,1,,,,,1,,2
World Religions,,,,,,,,,1.5,,1.5
Criminology,,,,,,,,,,,
Current Events,,,,,,1,,5,,,6
,,,,,,,,,,,
Language Arts Electives,,,,,,,,,,,
Creative Writing,,,,,,,,,,,
Journalism,,,,,,,,,,,
Debate/Public Speaking,,,,,,,4,,0.5,,4.5
