UNIT,Inventions + Ideas,Life Skills,Europe,US History 4,Energy,Music,US History 5,Transportation,US History 6,Intro to Psychology,TOTALS
Physical Science,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours,Hours
Chemistry,3,,3,,,,,1,,,7
Physics,15.5,3,5.5,,24.5,8,,19.5,,1,77
Astronomy,0.5,,,,,,0.5,2,,,3
,,,,,,,,,,,0
Earth Science,,,,,,,,,,,0
Geology,,,1,,4,,,1,,,6
Environmental Science,0.5,1.5,,,9,,0.5,3,,1,15.5
Oceanography,,,,,,,,,,,0
Meteorology,,,,,4,,,,1,0.5,5.5
Paleontology,,,,,,,,,,,0
,,,,,,,,,,,0
Life Science,,,,,,,,,,,0
Biology,2.5,3,,,,,,,,,5.5
Botany,,1,,,1,,,,,,2
Marine Biology,,,,,,,,,,,0
Anatomy + Physiology,2,2,,,1,3.5,,,,7.5,16
Zoology,,2,6,,,0.5,,1.5,,1,11
,,,,,,,,,,,
"Language
Arts",,,,,,,,,,,
English + Composition,36,27.5,23.5,23.5,31,35.5,24,26,16.5,28.5,272
American Literature,,,,,10,,20,,20,,50
British Literature,,,,,,,,,,,0
Classical Literature,,,22.5,,,,,,,1,23.5
,,,,,,,,,,,
History,,,,,,,,,,,
US History,2.5,1,,22,,2,23,2.5,,5,58
World History,9.5,6,22.5,3,6,10,2,8.5,,6.5,74
Government (Civics),,1.5,1,,,,0.5,1.5,1,,5.5
Economics,,1,9.5,,,,,2,1,,13.5
,,,,,,,,,,,
Bible,14.5,21.5,16.5,1,5,6.5,1,6.5,1,10.5,84
,,,,,,,,,,,
"Physical
Education",,0.5,,,,,,,,,0.5
,,,,,,,,,,,
Fine Arts,,,,,,,,,,,
Visual Arts,7,3,4,1,7.5,6,,3.5,,10.5,42.5
Media Arts,,1.5,,,1,4,,1,,,7.5
Performing Arts,,,,,,,,,,,
Music,0.5,,1,0.5,0.5,62.5,,,,1,66
,,,,,,,,,,,
Electives,,,,,,,,,,,
Culinary Arts,,3.5,,,,,,,,,3.5
Business + Marketing,1.5,0.5,,,,1,1,,,0.5,4.5
Career + Technology,3,3.5,,,1,3,0.5,2,0.5,2,15.5
Home Economics,1.5,10,,,1,,,1,,,13.5
,,,,,,,,,,,
"Social Science
Electives",,,,,,,,,,,
Geography,1.5,1,21,3,5,0.5,2,8,4.5,1.5,48
Psychology,1.5,7,,,4,3,1.5,,,34,51
Sociology,0.5,3.5,,,1.5,1,,2.5,,,9
Philosophy,,,,,,,,,,,0
Ethics,1,1,,,1.5,,,0.5,,1,5
World Religions,,,,,,,,,,,0
Criminology,,0.5,,,,,,,,,0.5
Current Events,,,,,3,,,,18.5,,21.5
,,,,,,,,,,,
Language Arts Electives,,,,,,,,,,,
Creative Writing,,,,,,,,,,7.5,7.5
Journalism,,,,,,,,,,,0
Debate/Public Speaking,,,,,2,,,,1.5,,3.5
Foreign Language,,,,,,,,,,,0
,,,,,,,,,,,
Science Electives,,,,,,,,,,,
Forensics,,,,,,,,,,,
"Engineering (architecture, robotics, materials, etc.)",8,,,,1,,,14,0.5,,23.5
Agriculture,,,,,,,,1.5,,,1.5
Archeology,,,,,,,,,,,0
Computer Science,1,1.5,,,1.5,,,,0.5,,4.5
Veterinary Science,,,,,,,,,,,0
Health,1.5,4,1,,14,1.5,2.5,1.5,0.5,2.5,29
,,,,,,,,,,,
Math Electives,,,,,,,,,,,
Statistics,,,,,,,,,,0.5,0.5
Personal Finance,,5,,,,,,,1,,6
Problem-solving/Logic,1,,,,1,,,,,4,6
Accounting,,,,,,,,,,,0
,,,,,,,,,,,
TOTALS,116,117,138,54,141,148.5,79,110.5,66,127.5,
TOTALS WITH EXTRAS,146,157,148,74,,198.5,99,140.5,84,177.5,
,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,Required Reading,
,"(1 hour per day; add 20 hours to the appropriate category)

American Literature:
- The Wright Brothers by David McCullough
- The Invention of Hugo Cabret by Brian Selznick
- The Giver by Lois Lowry
- Ender's Game by Orson Scott Card

British Literature:
- Frankensteinby Mary Shelley","(1 hour per day; add 20 hours to the appropriate category)

British Literature:
- The Screwtape Letters by C.S. Lewis
American Literature:
- To Kill a Mockingbird by Harper Lee
- Wonder by R.J. Palacio","(1 hour per day; 20 hours added to Classic Lit)

- The Hiding Place by Corrie Ten Boom
- The Diary of a Young Girl by Anne Frank
- God's Smuggler by Brother Andrew
- Fairy Tales by Hans Christian Andersen","(1 hour per day; add 20 hours to the appropriate category)

American Literature:
- The Adventures of Tom Sawyer by Mark Twain
- A Farewell to Arms: The Hemingway Library Edition by Ernest Hemingway
- The Grapes of Wrath by John Steinbeck
- Unbroken: A World War II Story of Survival, Resilience, and Redemption by Lauren Hillenbrand

British Literature:
- The Boy in the Striped Pajamas by John Boyne","- The Boy Who Harnessed the Wind by William Kamkwamba

Complete a book report or essay

(hours have been added to final total)","(1 hour per day; add 20 hours to the appropriate category)

American Literature:
- Live Like a Jesus Freak: Spend Today as if it Were Your Last by dc Talk

Classical Literature:
- The Wizard of Oz by L. Frank Baum
- Little Women by Louisa May Alcott

British Literature:
- Reflections on the Psalms by C.S. Lewis","(1 hour per day; choose your books)

American Literature:
- Truman by David McCullough
- Roll of Thunder, Hear My Cry by Mildred D. Taylor
- The Selected Poems of Wendell Berryby Wendell Berry","(1 hour per day; add 20 hours to the appropriate category)

American Literature:
- Flying to the Moon: An Astronaut's Story by Michael Collins

Classical Literature:
- Around the World in 80 Days by Jules Verne
- Robinson Crusoe by Daniel Defoe","(1 hour per day; choose your books)

- Let's Roll! Ordinary People, Extraordinary Change by Lisa Beamer
- How the Internet Happened: From Netscape to iPhone by David McCullough","(1 hour per day; choose your books)

American Literature:
- Bridge to Terabithia by Katherine Paterson
- Endurance: My Year in Space, A Lifetime of Discovery by Scott Kelly
- Unplanned: The Dramatic True Story of a Former Planned Parenthood Leader's Eye-Opening Journey Across the Life Line by Abby Johnson

British Literature:
- The King's War by Mark Logue + Peter Conradi
- The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson
- Alice's Adventures in Wonderland and Through the Looking Glass by Lewis Carroll",
,,,,,,,,,,,
,,,,,,,"Add the appropriate hours depending on format for unit project:

- 20 hours to English + Composition for writing an article
- 10 hours to English + Comp / 10 hours to Media Arts if creating a podcast or filming a video",,,,
,,,Optional Physics Lab,,,,,,,,
,,,"Perform experiments to demonstrate Newton's three laws of motion
Complete lab report
Add 10 hours to Physics",,,,,Optional Physics Lab,,Optional Labs,
,,,,,,,,"Perform additional experiment to understand Archimedes' principle
Complete lab report
Add 10 hours to Physics

Perform additional surface tension experiment
Complete lab report
Add 10 hours to Physics

Perform an experiment to demonstrate variables affecting force 
Complete lab report
Add 10 hours to Physics",,"Perform a noise filtering/sleep experiment 
Complete lab report
Add 10 hours to Life Science",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Optional Physics/Earth Science Labs,,,,,,
,,,,,"Repeat CO2 experiment (L13) by changing amounts of the mixture twice
Complete lab report
Add 10 hours for Pysics

Water cycle lab
Complete lab report
Add 10 hours for Earth Science",,,,,,
,,,,,,,,,,,
,,,,,,,,,,Optional LA Addition,
,,Optional LA Addition,,,,,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",
,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,,,,,
,,,,,,Optional LA Addition,,,,,
,,,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Optional Lab Addition,,,,,,,,,,
,"Perform 2 or 3 more magnet experiments
Complete lab report
Add 10 hours to Physics

Perform more than one flight experiment from Lesson 3
Complete lab report
Add 10 hours to Physics

Perform an inertia experiment
Complete lab report
Add 10 hours to Physics",,,,,,,,,,
,,,,,,Optional Physics Lab,,,,,
,,,,,,"Perform additional sound vibration experiment(s)
Complete a lab report
Add 10 hours to Physics",,,,,
,,,,,Optional LA Addition,,,,,,
,,,,,"Add seatwork for an additional 1 hour per lesson in 
English + Composition",,,,,,
